ABBOTT, HARVEY LESLIE
ACZEL, JANOS D.
AGOH, TAKASHI
AHARONI, RON
AIGNER, MARTIN S.
AJTAI, MIKLOS
ALAOGLU, LEONIDAS*
ALAVI, YOUSEF*
ALLADI, KRISHNASWAMI
ALON, NOGA M.
ANDERSON, JAMES MILNE
ANDRASFAI, BELA
ANKENY, NESMITH CORNETT*
ANNING, NORMAN H.*
ARKIN, JOSEPH*
ARNEY, DAVID CHRISTOPHER
ARONOV, BORIS
ASH, J. MARSHALL
ASHBACHER, CHARLES D.
AVIS, DAVID MICHAEL
BABAI, LASZLO
BABU, GUTTI JOGESH
BAGEMIHL, FREDERICK*
BALOG, ANTAL
BANKOFF, LEON*
BARAK, AMNON B.
BATEMAN, PAUL TREVIER*
BAUMGARTNER, JAMES EARL*
BEASLEY, LEROY B.
BECK, ISTVAN
BEHZAD, MEHDI^1
BEJLEGAARD, NIELS*
BENKOSKI, STANLEY J.
BERGELSON, VITALY
BERGER, MARC ARON
BERTRAM, EDWARD ARTHUR
BIALOSTOCKI, ARIE
BLASS, ANDREAS RAPHAEL
BLECKSMITH, RICHARD FRED
BLEICHER, MICHAEL NATHANIEL
BOALS, ALFRED JOHN
BOAS, RALPH PHILIP, JR.*
BOES, DUANE CHARLES
BOLLOBAS, BELA
BONAR, DANIEL DONALD
BONDY, JOHN ADRIAN
BONNET, ROBERT
BOROSH, ITSHAK
BOSAK, JURAJ*
BOVEY, JOHN D.
BRENNER, JOEL LEE*
BRILLHART, JOHN DAVID
BRINDZA, BELA*
BROWN, THOMAS CRAIG
BROWN, WILLIAM G.
BUCK, ROBERT CREIGHTON*
BUKOR, JOZEF
BURR, STEFAN ANDRUS
BUSOLINI, DONALD TERENCE
CACCETTA, LOUIS
CALKIN, NEIL JAMES
CAMERON, PETER J.
CANFIELD, EARL RODNEY
CARROLL, FRANCIS WILLIAM
CATER, FRANK SYDNEY
CATES, MARSHALL L.
CATLIN, PAUL ALLEN*
CHALK, JOHN H. H.*
CHARTRAND, GARY THEODORE
CHEN, CHUAN CHONG
CHEN, GUANTAO
CHEN, HANG
CHEN, ROBERT W.
CHINN, PHYLLIS ZWEIG
CHOI, SHIU LUN GODFREY
CHOWLA, SARVADAMAN D. S.*
CHUI, CHARLES KAM-TAI
CHUNG, FAN RONG KING (GRAHAM)
CHUNG, KAI-LAI*
CHVATAL, VACLAV (VASEK)
CLARK, BRENT N.
CLARK, LANE HENRY
CLARKSON, JAMES ANDREW*
CLUNIE, JAMES GOURLAY*
COHEN, STEPHEN DOUGLAS
COLBOURN, CHARLES JOSEPH
CONWAY, JOHN HORTON
COPELAND, ARTHUR HERBERT, SR.*
